model,metric,mean,std
id,recall@10,0.040990012535741895,0.011533414901351485
id,ndcg@10,0.06091997003756788,0.014340952305601805
id,recall@20,0.06791971155655699,0.019854676230291905
id,ndcg@20,0.0664796172697346,0.01531024259299671
id,recall@40,0.1014328886703838,0.029645068645224874
id,ndcg@40,0.07809554223092287,0.019010579645579083
fusion,recall@10,0.06365246623538119,0.013079296850195845
fusion,ndcg@10,0.10405231098858368,0.009337706603770802
fusion,recall@20,0.09795606603410884,0.023215717358591452
fusion,ndcg@20,0.10514590914109002,0.012978706068035459
fusion,recall@40,0.13623964386909082,0.03626468193134743
fusion,ndcg@40,0.11440454081295,0.01879582345486292
sasrec_tuned,recall@10,0.012674421667852133,0.0032216292923527693
sasrec_tuned,ndcg@10,0.01940519170307808,0.0016974372562934823
sasrec_tuned,recall@20,0.02026882652507996,0.0035005954525118834
sasrec_tuned,ndcg@20,0.020601283950294067,0.00038799088358829693
sasrec_tuned,recall@40,0.03383574746269413,0.004277490498837918
sasrec_tuned,ndcg@40,0.025247646579205422,0.0018010593187998145
